name,protein,fat,carb,cal
Allspice,6.1,8.7,0,0
Club soda,0,0,0,0
Salt,0,0,0,0
Coffee,0.2,0,0.3,2
Celery,0.5,0.2,0.9,7
Rhubarb,0.9,0.1,0.8,7
Lemon juice,0.3,0,1.6,7
Cucumber,0.7,0.1,1.5,10
Chicory,0.5,0.6,2.8,11
Fennel,0.9,0.2,1.8,12
Radish,0.7,0.2,1.9,12
Endive,1.8,0.2,1,13
Mushrooms,1.8,0.5,0.4,13
Mustard and cress,1.6,0.6,0.4,13
Pumpkin,0.7,0.2,2.2,13
Lettuce,0.8,0.5,1.7,14
Raddiccio,1.4,0.2,1.7,14
Eggplant,0.9,0.4,2.2,15
Vine leaves,3.6,0,0.2,15
Cranberries,0.4,0.1,3.4,15
Canned tomatoes,1,0.1,3,16
Tomatoes,0.7,0.3,3.1,17
Artichoke,2.8,0.2,2.7,18
Celeriac,1.2,0.4,2.3,18
Cherry tomatoes,0.8,0.4,3,18
Swiss chard,1.8,0.2,2.9,19
Gooseberries,1.1,0.4,3,19
Canteloupe,0.6,0.1,4.2,19
Pepper,2.9,0.6,0.7,20
Shallots,1.5,0.2,3.3,20
Coriander leaves,2.4,0.6,1.8,20
"Pickle, mixed vegetables",0.3,0.4,3.4,21
Leeks,1.6,0.5,2.9,22
Watercress,3,1,0.4,22
Coconut milk,0.3,0.3,4.9,22
Vinegar,0.4,0,0.6,22
Balor beans,2.7,0.1,3,23
Spring onions,2,0.5,3,23
Turnip,0.9,0.3,4.7,23
Chives,2.8,0.6,1.7,23
Green beans,1.9,0.5,3.2,24
Alfalfa sprouts,4,0.7,0.4,24
Swede,0.7,0.3,5,24
Melon,0.6,0.1,5.5,24
Galia,0.5,0.1,5.6,24
Asparagus,2.9,0.6,2,25
Spinach,2.8,0.8,1.6,25
Blackberries,0.9,0.2,5.1,25
Raspberries,1.4,0.3,4.6,25
Dill,3.7,0.8,0.9,25
Cabbage,1.7,0.4,4.1,26
Hot pepper sauce,1.6,1.5,1.7,26
Mustard leaves,2.5,0.3,3.6,27
Papaya,0.9,0.1,5.5,27
Strawberries,0.8,0.1,6,27
Honeydew,0.6,0.1,6.6,28
Tamarillos,2,0.3,4.7,28
Carrots,0.7,0.5,6,30
Beansprouts,2.9,0.5,4,31
Okra,2.8,1,3,31
Watermelon,0.5,0.3,7.1,31
Skim milk,3.4,0.2,4.4,32
Mandarin oranges,0.7,0,7.7,32
Broccoli,4.4,0.9,1.8,33
Radish leaves,3.5,0.5,3.5,33
Spring greens,3,1,3.1,33
Orange juice,0.6,0,8.1,33
Tonic water,0,0,8.8,33
Grapefruit juice,0.4,0.1,8.3,33
Sugar-snap peas,3.4,0.2,5,34
Cauliflower,3.6,0.9,3,34
Apricots,0.5,0.1,8.4,34
Parsley,3,1.3,2.7,34
Fenugreek leaves,4.6,0.2,4.8,35
Tangerines,0.9,0.1,8,35
Beetroot,1.7,0.1,7.6,36
Onions,1.2,0.2,7.9,36
Butternut squash,1.1,0.1,8.3,36
Passion fruit,2.6,0.4,5.8,36
Plums,0.6,0.1,8.8,36
Orange juice,0.5,0.1,8.8,36
Buttermilk,3.4,0.5,5,37
Clementines,0.9,0.1,8.7,37
Oranges,1.1,0.1,8.5,37
Apple juice,0.1,0.1,9.9,38
Acorn squash,0.8,0.1,9,40
Nectarines,1.4,0.1,9,40
Pears,0.3,0.1,10,40
Basil,3.1,0.8,5.1,40
Pineapple,0.4,0.2,10.1,41
Pineapple juice,0.3,0.1,10.5,41
Brussels sprouts,3.5,1.4,4.1,42
Seaweed,7.1,1.6,0,43
Figs,1.3,0.3,9.5,43
"Mint, fresh",3.8,0.7,5.3,43
Soy sauce,3,0,8.2,43
Sweet and sour sauce,0.4,0.1,10.6,44
Water chestnuts,1.4,0.2,10.4,46
Grape juice,0.3,0.1,11.7,46
Apples,0.4,0.1,11.8,47
"Pasta sauce, tomato",2,1.5,6.9,47
Cherries,0.9,0.1,11.5,48
Kiwi fruit,1.1,0.5,10.6,49
Ginger,1.7,0.7,9.5,49
Tarragon,3.4,1.1,6.3,49
Lotus tubers,2.1,0.1,11,51
Pomegranate,1.3,0.2,11.8,51
Sweetcorn,2,1,9.9,54
Mango,0.7,0.2,14.1,57
Grapes,0.4,0.1,15.4,60
Betel leaves,6.4,0.1,8.6,61
Cranberry juice,0,0,14.4,61
Horseradish,4.5,0.3,11,62
Parsnip,1.8,1.1,12.5,64
Worcestershire sauce,1.4,0.1,15.5,65
Whole milk,3.3,3.9,4.5,66
Oregano,2.2,2,9.7,66
Tofu,8.1,4.2,0.7,73
Potato,2.1,0.2,17.2,75
Coffee,14.6,0,4.5,75
Tzatziki,3.4,5.5,3.4,76
Tomato puree,5,0.3,14.2,76
Curry sauce,1.5,5,7.1,78
Chilli sauce,1.3,0.8,17.7,79
Peas,6.9,1.5,11.3,83
Sweet potato,1.2,0.3,21.3,87
Bananas,1.2,0.3,23.2,95
Thyme,3,2.5,15.1,95
Curry leaves,7.9,1.3,13.3,97
Garlic,7.9,0.6,16.3,98
Rosemary,1.4,4.4,13.5,99
Cottage cheese,12.6,4.3,3.1,101
Olives,0.9,11,0,103
Venison,22.2,1.6,0,103
Pork shoulder,16.9,3.6,0.9,103
"Turkey, meat only",22.6,1.6,0,105
Taro,1.4,0.2,26.2,106
"Veal, escalope",22.7,1.7,0,106
"Chicken, light meat",24,1.1,0,106
Arrowhead,5,0.3,21.5,107
Ham,18.4,3.3,1,107
"Chicken, meat only",22.3,2.1,0,108
Yogurt,4,3,17.7,109
"Chicken, dark meat",20.9,2.8,0,109
Yam,1.5,0.3,28.2,114
"Relish, burger/chilli/tomato",1.2,0.1,27.6,114
Tamarind leaves,5.8,2.1,18.2,115
Tomato ketchup,1.6,0.1,28.6,115
Plantain,1.1,0.3,29.4,117
Sage,3.9,4.6,15.6,119
"Relish, corn/cucumber/onion",1,0.3,29.2,119
Pastrami,19.4,4.3,1.8,123
Dates,1.5,0.1,31.3,124
Guacamole,1.4,12.7,2.2,128
"Chutney, tomato",1.2,0.2,31,128
"Ham, premium",21.2,5,0.5,132
"Pasta sauce, white",7.8,10.8,1.1,132
Whole turkey,21.6,5.2,0,133
Greek yogurt,4.8,8.4,11.2,137
"Duck, meat only",19.7,6.5,0,137
"Rabbit, meat only",21.9,5.5,0,137
Beef slices,25.3,3.7,0.6,137
Mustard,7.1,8.2,9.7,139
Pickle,0.6,0.1,36,141
Cassava,0.6,0.2,36.8,142
"Veal, mince",20.3,7,0,144
"Beef, stewing steak",22.1,6.4,0,146
"Pork, diced",20.5,7.2,0,147
"Pork, fillet",22,6.5,0,147
Evaporated milk,8.4,9.4,8.5,151
Egg,12.5,11.2,0,151
"Pork, chump steaks",21.3,7.3,0,151
Cranberry sauce,0.2,0.1,39.9,151
Horseradish sauce,2.5,8.4,17.9,153
"Beef, fillet steak",20.9,7.9,0,155
"Chutney, mixed fruit",0.6,0,39.7,155
Mushroom,21.8,6,4.8,159
Prunes,2.8,0.5,38.4,160
"Beef, braising steak",20.7,8.6,0,160
Baking powder,5.2,0,37.8,163
"Pork, mince",19.2,9.7,0,164
Turkey roll,16.9,9,4.7,166
"Pork, spare rib steaks",18.7,10.4,0,168
"Pork, steaks",21,9.4,0,169
Chestnuts,2,2.7,36.6,170
"Beef, rump steak",20.7,10.1,0,174
Yeast,40.7,0.4,3.5,180
"Pork, spare rib chops",18.5,12.4,0,186
Hummus,7.6,12.6,11.6,187
"Lamb, leg",19,12.3,0,187
"Chutney, mango",0.7,0.1,48.3,189
Avocado,1.9,19.5,1.9,190
"Chicken, leg quarter",18.3,13.3,0,193
"Chicken, wing quarter",20.3,12.4,0,193
"Pork, chump chops",20.1,12.6,0,194
"Pork, spare ribs",18.7,13.4,0,195
"Lamb, mince",19.1,13.3,0,196
"Beef, topside",20.4,12.9,0,198
"Beef, sirloin steak",21.6,12.7,0,201
Whole chicken,19.1,13.8,0,201
Miso,13.3,6.2,23.5,203
"Lamb, stewing",22.5,12.6,0,203
Corned beef,25.9,10.9,1,205
Bran,14.1,5.5,26.8,206
Brown bread,7.9,2,42.1,207
Spinach,24.3,6.9,13.8,211
"Pork, leg joint",19,15.2,0,213
"Beef, silverside",20.4,14.8,0,215
Whole bread,9.4,2.5,42,217
"Beef, brisket",18.4,16,0,218
"Pork, hand, shoulder joint",18.1,16.2,0,218
"Pork, spare rib joint",17.6,16.4,0,218
Rye bread,8.3,1.7,45.8,219
Peaches,3.4,0.8,53,219
"Lamb, chump steaks",18.6,16.4,0,222
"Ham, Parma",27.2,12.7,0,223
"Beef, mince",19.7,16.2,0,225
"Pork, loin steaks",19.9,16.1,0,225
"Lamb, neck fillet",18.4,17.6,0,232
Curry powder,9.5,10.8,26.1,233
White bread,8.4,1.9,49.3,235
"Lamb, shoulder",17.6,18.3,0,235
Cream,2.9,23.5,3.4,236
Curry paste,4.7,21.3,6.7,236
Chervil,23.2,3.9,37.8,237
"Stock cubes, chicken",15.4,15.4,9.9,237
Tamarind,2.3,0.3,56.5,238
"Lamb, chump chops",18.3,18.8,0,242
Garlic powder,18.7,1.2,42.7,246
"Pork, loin joint",19.3,18.8,0,246
"Cheese, Feta",15.6,20.2,1.5,250
"Stock cubes, vegetable",13.5,17.3,11.6,253
Pita bread,9.1,1.3,55.1,0-
"Cheese, Mozzarella",18.6,20.3,0,257
"Pork, belly joint/slices",19.1,20.2,0,258
Bratwurst,15.4,20.8,3.1,260
Marmalade,0.1,0,69.5,261
"Syrup, maple",0,0.2,67.2,262
Hamburger buns,9.1,5,48.8,264
Ham and pork,14.2,22.4,1.4,264
Red kidney beans,22.1,1.4,44.1,266
"Beef, flank",19.7,20.8,0,266
Molasses,0,0.1,68.8,266
Cheese spread,11.3,22.8,4.4,267
"Pork, loin chops",18.6,21.7,0,270
"Pickle, chilli",3.3,24.5,9.9,271
Raisins,2.1,0.4,69.3,272
Tamarind pulp,3.2,0.3,64.5,273
Pasta,11.3,2.4,55.5,274
Sultanas,2.7,0.4,69.4,275
Pork and beef sausages,10.2,23,7.5,276
"Lamb, loin chops",17.6,23,0,277
Mung beans,23.9,1.1,46.3,279
Luncheon meat,12.9,23.8,3.6,279
Honeycomb,0.6,4.6,74.4,281
"Syrup, corn",0,0,76.6,282
Rack of lamb,17.3,23.8,0,283
"Mushrooms, Chinese",10,1.8,59.9,284
Naan bread,7.8,7.3,50.2,285
"Chutney, mango",0.4,10.9,49.5,285
"Lamb, breast",16.2,24.7,0,287
Honey,0.4,0,76.4,288
Paprika,14.8,13,34.9,289
Butter beans,19.1,1.7,52.9,290
Beef sausages,10.3,23.8,9.4,291
Chorizo,18,23,3.2,291
"Mushrooms, shiitake",9.6,1,63.9,296
"Syrup, golden",0.3,0,79,298
Tartare sauce,1.3,24.6,17.9,299
Barley,10.6,2.1,64,301
"Lamb, loin joint",16.9,26.6,0,307
Quinoa,13.8,5,55.7,309
Pork sausages,11.9,25,9.6,309
Saffron,11.4,5.9,61.5,310
Blackeyed peas,23.5,1.6,54.1,311
Cocoa powder,18.5,21.7,11.5,312
Bay leaf,7.6,8.4,48.6,313
Lentils,23.8,1.3,56.3,318
"Pepper, cayenne",12,17.3,31.7,318
Chick peas,21.3,5.4,49.6,320
"Dressing, thousand island",1.1,30.2,12.5,323
Pinto beans,21.1,1.6,57.1,327
Potato flour,9.1,0.9,75.6,328
"Turkey, skin",14,30.7,0,332
Condensed milk,8.5,10.1,55.5,333
Gelatine,84.4,0,0,338
Pork and beef sausages,9.4,28.8,11.5,340
Wheat flour,9.4,1.3,77.7,341
Sweetcorn,12.7,6.7,61.5,342
"Cheese, brie",20.3,29.1,0,343
Macaroni,12,1.8,75.8,348
Coconut cream,4,34.7,5.9,350
Coconut,3.2,36,3.7,351
Cornflour,0.6,0.7,92,354
Custard powder,0.6,0.7,92,354
Red rice,7.4,1.6,76,354
Breadcrumbs,10.1,2.1,78.5,354
Vermicelli,8.7,0.4,78.3,355
Brown rice,6.7,2.8,81.3,357
Rice noodles,4.9,0.1,81.5,360
White rice,6.5,1,86.8,361
Goose,16.5,32.8,0,361
"Sugar, brown",0.1,0,101.3,362
Buckwheat,8.1,1.5,84.9,364
Rice flour,6.4,0.8,80.1,366
Cornmeal,9.4,3.3,73.1,368
Soya beans,35.9,18.6,15.8,370
Croissants,8.3,19.7,43.3,373
Puff pastry,5.7,23.5,37,373
"Cheese, Gouda",25.3,30.6,0,377
Creme fraiche,2.2,40,2.4,378
Garam masala,15.6,15.1,45.2,379
"Cheese, white",23.7,31.8,0.1,381
Plain noodles,11.7,6.2,76.1,388
"Duck, meat fat skin",13.1,37.3,0,388
Egg noodles,12.1,8.2,71.7,391
"Sugar, white",0,0,105,394
Oatmeal,12.4,8.7,72.8,401
Gruyere cheese,27.2,33.3,0,409
Cheddar cheese,25.5,34.4,0.1,412
Parmesan cheese,36.2,29.7,0.9,415
Salami,20.9,39.2,0.5,438
Cream cheese,3.1,47.4,0,439
Mustard powder,28.9,28.7,20.7,452
"Dressing, blue cheese",2,46.3,8.7,457
"Dressing, French",0.1,49.4,4.5,462
"Chicken, skin",9.7,48.3,0,474
Banana chips,1,31.4,59.9,511
Chocolate,4.8,34.8,57.8,549
Peanuts,25.8,46,12.5,564
Pumpkin seeds,24.4,45.6,15.2,569
Cashew nuts,17.7,48.2,18.1,573
Sunflower seeds,19.8,47.5,18.6,581
Melon seeds,28.5,47.7,9.9,583
Sesame seeds,18.2,58,0.9,598
Peanut butter,22.8,51.8,13.1,607
Tahini paste,18.5,58.9,0.9,607
Almonds,21.1,55.8,6.9,612
Hazelnuts,14.1,63.5,6,650
"Dressing, oil and lemon",0.1,71,3.4,652
Brazil nuts,14.3,68.2,3.1,683
Pine nuts,14,68.6,4,688
Walnuts,14.7,68.5,3.3,688
Pecan nuts,9.2,70.1,5.8,689
Margarine,0.2,79.3,1,718
Butter,0.6,82.2,0.6,744
Bacon,4.8,80.9,0,747
Macadamia nuts,7.9,77.6,4.8,748
Suet,1.2,87.9,10.1,836
Cottonseed oil,0,99,0,891
"Dripping, beef",0,99,0,891
Lard,0,99,0,891
Sesame oil,0.2,99.7,0,898
Coconut oil,0,99.9,0,899
Corn oil,0,99.9,0,899
Grapeseed oil,0,99.9,0,899
Hazelnut oil,0,99.9,0,899
Olive oil,0,99.9,0,899
Palm oil,0,99.9,0,899
Safflower oil,0,99.9,0,899
Sunflower oil,0,99.9,0,899
Vegetable oil,0,99.9,0,899
Walnut oil,0,99.9,0,899
Caraway seeds,19.8,14.6,0,0
Cardamom,10.8,6.7,0,0
Celery seeds,18.1,25.3,0,0
Chilli powder,12.3,16.8,0,0
Chinese 5 spice,9.5,8.7,0,0
Cinnamon,3.9,3.2,0,0
Cloves,6,20.1,0,0
Cumin seeds,17.8,18.2,0,0
Tea,0.1,0,0,0